2015-10-25 03:12:19,118 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:12:19,120 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:12:19,122 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:15:27,536 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:15:27,537 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:15:27,539 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:15:27,539 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:15:33,663 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:15:33,665 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:15:33,667 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:15:33,668 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:24:50,921 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:24:50,922 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:24:50,924 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:24:50,925 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:27:57,003 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
